user_id,month,year,country,distance
1,5,2014,Brasil,244
5,5,2014,Brasil,99
11,7,2014,Brasil,3464
23,5,2014,Brasil,193
33,11,2015,Brasil,241
36,5,2014,Brasil,270
46,6,2015,Brasil,198
47,5,2015,Brasil,331
52,12,2014,Brasil,71
54,5,2015,Brasil,43
70,7,2015,Brasil,840
73,6,2014,Brasil,168
74,3,2015,Brasil,342
75,6,2014,Brasil,230
80,9,2015,Brasil,85
98,5,2014,Brasil,433
99,11,2014,Brasil,60
100,8,2015,Brasil,202
102,6,2014,Brasil,848
114,1,2015,Brasil,146
131,5,2014,Brasil,212
136,5,2014,Brasil,4
151,10,2015,Brasil,196
234,7,2015,Brasil,1281
241,10,2014,Brasil,89
248,2,2015,Brasil,456
275,9,2015,Brasil,984
283,3,2015,Brasil,342
306,2,2015,Brasil,464
483,12,2014,Brasil,314
505,6,2014,Brasil,55
539,8,2014,Brasil,72
602,8,2014,Brasil,222
610,12,2015,Brasil,224
611,12,2014,Brasil,112
625,2,2015,Brasil,212
626,12,2015,Brasil,672
706,9,2014,Brasil,1061
715,7,2014,Brasil,190
809,10,2015,Brasil,171
817,5,2014,Brasil,740
821,4,2015,Brasil,202
864,4,2015,Brasil,872
880,10,2014,Brasil,161
891,8,2014,Brasil,102
894,4,2015,Brasil,645
963,5,2014,Brasil,252
973,7,2014,Brasil,3552
1013,5,2014,Brasil,110
1039,6,2014,Brasil,198
1056,9,2014,Brasil,80
1058,6,2014,Brasil,520
1087,11,2014,Brasil,380
1088,7,2014,Brasil,318
1096,5,2014,Brasil,110
1100,7,2015,Brasil,448
1142,6,2014,Brasil,12
1162,9,2014,Brasil,352
1191,5,2014,Brasil,801
1196,5,2014,Brasil,428
1224,5,2014,Brasil,1155
1236,5,2015,Brasil,1590
1237,4,2015,Brasil,528
1252,12,2014,Brasil,13110
1304,11,2014,Brasil,852
1347,10,2015,Brasil,324
1387,4,2015,Brasil,83
1389,6,2014,Brasil,21
1399,5,2014,Brasil,714
1407,1,2015,Brasil,103
1432,9,2014,Brasil,476
1447,10,2014,Brasil,450
1452,11,2014,Brasil,326
1483,8,2015,Brasil,22
1489,10,2015,Brasil,476
1512,10,2014,Brasil,294
1564,11,2014,Brasil,221
1596,5,2014,Brasil,540
1649,6,2014,Brasil,909
1707,11,2014,Brasil,500
1789,12,2015,Brasil,384
1836,6,2014,Brasil,586
1926,2,2015,Brasil,336
1942,8,2015,Brasil,1820
1984,9,2014,Brasil,2905
1989,6,2015,Brasil,158
2015,10,2015,Brasil,158
2041,7,2014,Brasil,498
2105,6,2014,Brasil,96
2108,11,2015,Brasil,115
2126,8,2015,Brasil,101
2150,6,2014,Brasil,423
2336,6,2014,Brasil,124
2349,8,2014,Brasil,57
2368,8,2014,Brasil,114
2378,6,2014,Brasil,8
2399,2,2015,Brasil,94
2436,6,2014,Brasil,314
2437,6,2014,Brasil,282
2454,10,2015,Brasil,144
2494,6,2014,Brasil,1264
2560,10,2014,Brasil,66
2572,10,2015,Brasil,96
2594,9,2014,Brasil,53
2621,6,2014,Brasil,775
2641,9,2015,Brasil,264
2673,2,2015,Brasil,226
2702,12,2015,Brasil,366
2727,6,2014,Brasil,6555
2728,1,2015,Brasil,222
2738,9,2014,Brasil,1288
2806,6,2014,Brasil,14
2857,6,2014,Brasil,90
2862,3,2015,Brasil,109
2879,4,2015,Brasil,729
2901,4,2015,Brasil,110
2936,6,2014,Brasil,99
2968,6,2014,Brasil,1299
2970,6,2014,Brasil,926
2974,1,2015,Brasil,221
2985,6,2014,Brasil,478
3001,6,2014,Brasil,1280
3018,6,2015,Brasil,144
3044,12,2014,Brasil,620
3051,6,2014,Brasil,128
3070,9,2014,Brasil,427
3082,12,2014,Brasil,224
3110,6,2014,Brasil,392
3114,12,2014,Brasil,424
3124,11,2014,Brasil,665
3125,10,2015,Brasil,317
3132,6,2014,Brasil,310
3134,7,2014,Brasil,311
3176,8,2014,Brasil,1299
3208,6,2014,Brasil,582
3213,6,2014,Brasil,204
3221,6,2015,Brasil,200
3248,7,2015,Brasil,146
3253,8,2014,Brasil,117
3269,6,2014,Brasil,285
3280,10,2014,Brasil,339
3295,11,2014,Brasil,95
3299,12,2014,Brasil,226
3331,10,2015,Brasil,286
3341,6,2014,Brasil,270
3345,6,2014,Brasil,144
3361,10,2015,Brasil,1072
3366,7,2014,Brasil,224
3368,11,2015,Brasil,316
3405,9,2014,Brasil,2110
3419,7,2014,Brasil,280
3422,6,2014,Brasil,1212
3546,9,2015,Brasil,325
3550,6,2014,Brasil,303
3569,6,2014,Brasil,345
3583,6,2014,Brasil,73
3600,11,2015,Brasil,42
3616,12,2014,Brasil,286
3626,6,2014,Brasil,204
3641,7,2014,Brasil,291
3662,9,2015,Brasil,64
3675,9,2015,Brasil,192
3729,3,2015,Brasil,587
3796,12,2015,Brasil,102
3858,2,2015,Brasil,26
3875,6,2014,Brasil,236
3894,7,2015,Brasil,55
3898,7,2014,Brasil,444
3903,12,2014,Brasil,10
3953,2,2015,Brasil,63
3963,10,2015,Brasil,344
3995,6,2014,Brasil,159
4027,6,2014,Brasil,104
4032,6,2014,Brasil,95
4037,6,2014,Brasil,908
4063,6,2015,Brasil,339
4074,6,2014,Brasil,90
4080,3,2015,Brasil,11
4082,6,2014,Brasil,98
4108,6,2014,Brasil,20
4124,11,2014,Brasil,108
4135,10,2015,Brasil,712
4157,6,2014,Brasil,244
4159,7,2014,Brasil,430
4160,7,2014,Brasil,1285
4171,6,2015,Brasil,1332
4185,4,2015,Brasil,1050
4250,6,2014,Brasil,446
4264,6,2014,Brasil,15
4267,9,2015,Brasil,678
4269,6,2014,Brasil,1608
4301,7,2014,Brasil,433
4302,9,2014,Brasil,494
4305,7,2015,Brasil,107
4309,10,2015,Brasil,185
4344,7,2014,Brasil,583
4368,8,2014,Brasil,735
4412,9,2015,Brasil,226
4423,7,2014,Brasil,936
4426,12,2015,Brasil,426
4442,7,2014,Brasil,1740
4457,11,2015,Brasil,520
4473,10,2015,Brasil,254
4482,6,2015,Brasil,244
4505,9,2015,Brasil,253
4506,8,2015,Brasil,816
4532,7,2014,Brasil,92
4539,7,2014,Brasil,3480
4565,10,2015,Brasil,14
4595,7,2014,Brasil,879
4604,12,2014,Brasil,452
4622,7,2014,Brasil,225
4624,7,2014,Brasil,1884
4627,7,2014,Brasil,315
4628,9,2015,Brasil,466
4657,8,2015,Brasil,240
4664,5,2015,Brasil,159
4675,8,2014,Brasil,1261
4680,7,2014,Brasil,258
4683,10,2015,Brasil,438
4722,11,2015,Brasil,426
4742,10,2014,Brasil,22
4749,7,2014,Brasil,255
4773,7,2014,Brasil,433
4789,8,2014,Brasil,318
4804,7,2014,Brasil,1744
4811,4,2015,Brasil,233
4821,11,2014,Brasil,348
4830,7,2014,Brasil,160
4836,7,2014,Brasil,172
4859,7,2014,Brasil,459
4867,7,2014,Brasil,162
4893,7,2014,Brasil,99
4931,7,2014,Brasil,571
4968,11,2014,Brasil,79
5015,7,2014,Brasil,137
5033,7,2014,Brasil,1
5049,7,2014,Brasil,310
5051,7,2014,Brasil,208
5054,7,2014,Brasil,1900
5056,12,2015,Brasil,60
5074,7,2014,Brasil,854
5090,11,2014,Brasil,146
5103,8,2014,Brasil,214
5134,2,2015,Brasil,248
5141,7,2014,Brasil,404
5145,3,2015,Brasil,224
5159,1,2015,Brasil,302
5174,7,2014,Brasil,866
5196,7,2014,Brasil,103
5239,11,2014,Brasil,89
5292,7,2014,Brasil,414
5302,7,2014,Brasil,700
5325,7,2014,Brasil,106
5332,8,2014,Brasil,485
5333,7,2014,Brasil,582
5343,5,2015,Brasil,194
5344,7,2014,Brasil,4520
5369,7,2014,Brasil,368
5380,8,2014,Mexico,1140
5383,12,2015,Brasil,216
5386,7,2014,Brasil,366
5431,7,2014,Brasil,32
5447,9,2015,Brasil,476
5470,10,2014,Brasil,105
5475,7,2014,Brasil,520
5476,7,2014,Brasil,405
5539,8,2014,Colombia,656
5552,7,2014,Brasil,292
5612,7,2014,Brasil,98
5640,11,2014,Brasil,117
5652,11,2014,Brasil,238
5664,8,2014,Colombia,408
5677,10,2015,Brasil,182
5682,7,2014,Brasil,433
5684,11,2014,Brasil,113
5690,7,2014,Brasil,1375
5698,6,2015,Brasil,192
5711,11,2015,Brasil,286
5721,9,2014,Brasil,2255
5734,7,2014,Brasil,514
5749,7,2014,Brasil,92
5750,7,2014,Brasil,90
5760,7,2015,Brasil,369
5765,7,2014,Colombia,296
5767,10,2014,Brasil,276
5769,7,2014,Brasil,630
5789,7,2014,Colombia,112
5797,11,2014,Colombia,4884
5873,5,2015,Brasil,260
5877,7,2014,Brasil,624
5891,7,2014,Brasil,8
5901,7,2014,Brasil,804
5915,9,2014,Brasil,446
5920,12,2014,Colombia,2940
5921,12,2014,Colombia,306
5938,7,2014,Brasil,822
5954,3,2015,Brasil,426
5990,8,2014,Colombia,328
6010,8,2014,Brasil,450
6028,10,2014,Brasil,159
6030,10,2014,Brasil,630
6060,8,2014,Brasil,218
6069,10,2015,Brasil,3
6070,8,2014,Brasil,155
6097,8,2014,Brasil,257
6098,8,2014,Brasil,1732
6105,8,2014,Brasil,1000
6119,8,2014,Brasil,750
6130,7,2015,Brasil,36
6151,8,2014,Brasil,186
6152,8,2014,Colombia,153
6155,10,2014,Brasil,1252
6161,10,2015,Colombia,300
6179,11,2015,Brasil,1000
6182,8,2014,Mexico,2653
6193,9,2014,Brasil,219
6209,8,2014,Brasil,416
6212,9,2014,Brasil,238
6228,11,2014,Brasil,336
6230,2,2015,Brasil,446
6244,12,2014,Brasil,190
6249,11,2015,Brasil,30
6268,5,2015,Brasil,290
6280,4,2015,Brasil,11
6299,8,2014,Brasil,318
6319,12,2015,Colombia,1908
6320,8,2014,Brasil,118
6348,8,2014,"Malaysia + Singapore",350
6371,10,2015,Brasil,146
6390,1,2015,Brasil,112
6402,8,2014,Colombia,1220
6404,7,2015,Colombia,424
6412,3,2015,Brasil,438
6425,8,2015,Brasil,748
6430,8,2014,Colombia,675
6441,8,2014,Brasil,109
6444,12,2014,Colombia,330
6458,4,2015,Brasil,432
6461,8,2014,Brasil,488
6469,8,2014,Brasil,101
6486,8,2014,Colombia,287
6491,8,2014,Brasil,1749
6496,4,2015,Brasil,432
6510,8,2014,Colombia,246
6511,8,2014,Colombia,110
6539,12,2014,Brasil,110
6582,8,2014,Brasil,586
6591,8,2015,Brasil,373
6599,6,2015,Colombia,384
6609,12,2015,Brasil,1308
6611,2,2015,Brasil,884
6616,2,2015,Colombia,42
6629,2,2015,Brasil,223
6639,8,2014,Brasil,439
6660,7,2015,Brasil,184
6663,8,2014,Brasil,439
6687,5,2015,Brasil,192
6703,11,2014,Brasil,96
6704,10,2014,Brasil,433
6707,6,2015,Brasil,462
6734,8,2014,Brasil,176
6739,10,2014,Brasil,290
6749,9,2014,Brasil,303
6750,8,2015,Brasil,154
6756,8,2014,"United States",482
